TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N739GB,1998,BOEING                        ,737-7H4             ,2,140
N705SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N13989,2000,EMBRAER                       ,EMB-145LR           ,2,55
N251AY,1990,BOEING                        ,767-2B7             ,2,252
N121UW,2000,AIRBUS INDUSTRIE              ,A320-214            ,2,182
N965UW,2008,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N654SW,1997,BOEING                        ,737-3H4             ,2,149
N960WN,2011,BOEING                        ,737-7H4             ,2,140
N455WN,2004,BOEING                        ,737-7H4             ,2,140
N69063,2002,BOEING                        ,767-424ER           ,2,292
N37298,2005,BOEING                        ,737-824             ,2,149
N16234,1999,BOEING                        ,737-824             ,2,149
N860AA,2005,GULFSTREAM AEROSPACE          ,GV-SP (G550)        ,2,20
N670DN,1992,BOEING                        ,757-232             ,2,178
N923DN,    ,BOEING                        ,MD-90-30            ,2,142
N954AT,2000,BOEING                        ,717-200             ,2,100
N311US,1990,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N925EV,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N732SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N901DE,1992,MCDONNELL DOUGLAS CORPORATION ,MD-88               ,2,142
N32404,2001,BOEING                        ,737-924             ,2,191
N704US,1998,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N219UA,2001,BOEING                        ,777-222             ,2,400
N8605E,2012,BOEING                        ,737-8H4             ,2,140
N7702A,2004,BOEING                        ,737-7BD             ,2,149
N356SW,1991,BOEING                        ,737-3H4             ,2,149
N8615E,2013,BOEING                        ,737-8H4             ,2,140
N933AT,2000,BOEING                        ,717-200             ,2,100
N868AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N937EV,2005,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N768US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N940UW,1995,BOEING                        ,757-2B7             ,2,178
N950UW,2007,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N521VA,2006,AIRBUS                        ,A319-112            ,2,100
N648SW,1997,BOEING                        ,737-3H4             ,2,149
N371SW,1993,BOEING                        ,737-3H4             ,2,149
N374SW,1993,BOEING                        ,737-3H4             ,2,149
N67827,2014,BOEING                        ,737-924ER           ,2,191
N801DZ,2013,BOEING                        ,737-932ER           ,2,222
N192DN,1997,BOEING                        ,767-332             ,2,330
N380DA,1999,BOEING                        ,737-832             ,2,189
N489HA,1998,BOEING                        ,717-200             ,2,100
N11535,2001,EMBRAER                       ,EMB-145LR           ,2,55
N769US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N702UW,1998,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N17244,1999,BOEING                        ,737-824             ,2,149
N194UW,    ,AIRBUS                        ,A321-211            ,2,199
N961UW,2008,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N426UA,1995,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N656UA,1993,BOEING                        ,767-322             ,2,330
N7737E,2006,BOEING                        ,737-7BD             ,2,149
N388SW,1994,BOEING                        ,737-3H4             ,2,149
N398SW,1995,BOEING                        ,737-3H4             ,2,149
N788SA,2000,BOEING                        ,737-7H4             ,2,140
N57857,2004,BOEING                        ,757-324             ,2,275
N574AA,1991,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N556AS,2006,BOEING                        ,737-890             ,2,149
N994DL,1991,MCDONNELL DOUGLAS CORPORATION ,MD-88               ,2,142
N11189,2005,EMBRAER                       ,EMB-145XR           ,2,55
N931EV,2005,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N686DA,1995,BOEING                        ,757-232             ,2,178
N809DN,2013,BOEING                        ,737-932ER           ,2,222
N488HA,1998,BOEING                        ,717-200             ,2,100
N16112,2002,EMBRAER                       ,EMB-145XR           ,2,55
N737US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N711HK,1998,BOEING                        ,737-7H4             ,2,140
N559WN,2002,BOEING                        ,737-73V             ,2,149
